"","X","Species","subclass","GrowthForm_CTD","Abund_CTD","IUCNstatus","MeanPCcover","coralcover","Range","ReefArea_Range","family_molecules","family_morphology","larval","IUCN.conservation.status","Depth.lower","Depth.upper","Oocyte.size.at.maturity","Range.size","Colony.maximum.diameter","Corallite.width.maximum","Corallite.width.minimum","Growth.rate","Skeletal.density","Skeletal.micro.density","Tissue.thickness","Colony.area","Colony.fecundity","Colony.shape.factor","Polyp.fecundity","Polyps.per.area","Size.at.maturity","Age.at.maturity","Eggs.per.area","Generation.time","fecundity","IndoPacific_fecundity","Genus"
"67",67,"Acropora tenuis","Hexacorallia","corymbose","uncommon","NT",0.219,4376279356761790,65335974,239811,"Acroporidae","Acroporidae","spawner","Near Threatened",18.3333333333333,4.5,408.3835,62753683.875,281.096666666667,1.2,0.8,32.4100704671916,1.5398560449992,2.81626,1.347,346.959337930397,237517.923211743,7.16718095907094,8.29811885714285,82.497,43.411580128,6.25,335.9,35.02,684.569911357714,2995869171335010816,"Acropora"
"68",68,"Acropora tortuosa","Hexacorallia","branching_closed","uncommon","LC",0.117,2338012259091920,23381383,101322,"Acroporidae","Acroporidae","spawner","Least Concern",31,1,308.0035,22730585.965,92.05,1.3,1,37.9948126465638,1.39166666666667,2.80575,1.365,362.549854599422,328350.709631548,6.5801315962146,11.6514924,77.73,41.4715998495,6.06,345.7,35.56,905.670504252,2117468741639137024,"Acropora"
"69",69,"Acropora valenciennesi","Hexacorallia","branching_open","common","LC",0.542,10830791832716400,60816206,232515,"Acroporidae","Acroporidae","spawner","Least Concern",38.3333333333333,5,392.0385,50367297.94,333.333333333333,1.5,0.8,179.333333333333,1.51404166666667,2.8247,1.726,411.900858325119,369197.506799606,5.15048299274514,9.83137151428571,91.17,44.5510803239,6.19,334.5,35.02,896.326140957428,9707921846931920896,"Acropora"
"70",70,"Acropora valida","Hexacorallia","corymbose","common","LC",0.548,10950689897285200,95367652,245545,"Acroporidae","Acroporidae","spawner","Least Concern",32,1.66666666666667,493,81572516.925,50,0.9,0.5,34.3,1.5,2.824,1.653,422.237618195826,495510.104617599,10.7318087668267,10.8930844285714,107.732,44.4772404841,6.22,331,34.84,1173.53377165885,12851004417427611648,"Acropora"
"71",71,"Acropora verweyi","Hexacorallia","corymbose","common","VU",0.054,1079082581119350,52762515,206250,"Acroporidae","Acroporidae",NA,"Vulnerable",22,2,308.362,46507145.675,124.933333333333,1.1,0.8,39.3593965077678,1.40635,2.80586,1.192,369.975659913593,285556.196004975,6.6653148888002,9.31761062857143,82.835,42.242023557,6.06,345.7,35.56,771.824276417714,832862132367401984,"Acropora"
"72",72,"Acropora yongei","Hexacorallia","branching_closed","common","LC",0.324,6474495486716080,41920954,187258,"Acroporidae","Acroporidae","spawner","Least Concern",20.5,5,398.1385,38125026.395,200,1.2,0.8,49.4,1.4786,2.8258,1.68,377.96617201602,323204.252900061,6.85466887580708,10.2316988571429,83.575,43.3827517284,6.19,341.5,35.14,855.114231985718,5536433235618216960,"Acropora"
"73",73,"Alveopora allingi","Hexacorallia","columnar","uncommon","VU",0.01,199830107614694,55897220,226664,"Acroporidae","Poritidae",NA,"Vulnerable",35,5,330.11,53760683.39,112.138333333333,3.7,2.4,8.14590342857143,1.5058,2.8153,1.76,342.741473331273,333086.456057077,5.92688634260836,20.8712932857143,46.563,38.5253016282,6.09,343.6,35.32,971.830029262715,194200899330759584,"Alveopora"
"74",74,"Alveopora gigas","Hexacorallia","columnar","uncommon","VU",0.083,1658589893201960,4580064,63022,"Acroporidae","Poritidae","spawner","Vulnerable",30,3,331.975,7189811.7295,86.5666666666667,6.6,2,5.15969144470047,1.51675,2.81497,1.742,343.1894119239,306864.496264447,5.92688634260836,21.7810315142857,41.052,38.1521364837,6.04,347.1,35.65,894.154905724457,1483036289591535104,"Alveopora"
"75",75,"Alveopora marionensis","Hexacorallia","submassive","rare","VU",0.01,199830107614694,25531391,164312,"Acroporidae","Poritidae",NA,"Vulnerable",30,1,376.975,21083093.88,270.321666666667,3.4,2,35.6983590544178,1.57407426948558,2.82539,1.8585,337.413226215137,223525.423317698,5.90789894077267,10.3718041714286,63.872,41.4526259299,6.17,343.6,35.26,662.467876037488,132381026959848912,"Alveopora"
"76",76,"Alveopora spongiosa","Hexacorallia","columnar","uncommon","NT",0.016,319728172183510,67077726,235335,"Acroporidae","Poritidae",NA,"Near Threatened",35,3,305.675,60155295.4,150,1.5,0.7,33.9334141744345,1.48296666666667,2.80937,1.496,367.803309120428,275657.777685022,6.37666706566845,8.8567924,84.621,41.4212071032,6.09,343.6,35.32,749.4706296804,239626874532938592,"Alveopora"
"77",77,"Anacropora forbesi","Hexacorallia","branching_closed","uncommon","LC",0.307,6134784303771100,50771041,191909,"Acroporidae","Acroporidae",NA,"Least Concern",25,2,318.205,35996700.2,89.5,0.5,0.2,37.8437967769986,1.3843,2.81096,1.5085,384.583026458337,291372.952734599,7.93870745063773,8.82230885714286,85.877,42.6254629958,6.06,345.7,35.56,757.633417724857,4647917599070907392,"Anacropora"
"78",78,"Anacropora matthai","Hexacorallia","branching_closed","rare","VU",0.068,1358844731779920,8850646,124834,"Acroporidae","Acroporidae",NA,"Vulnerable",20,8,320.296,10186516.256,110.91,0.6,0.5,37.5016242480131,1.423625,2.80609,0.953000000000001,356.654435869778,271855.421781423,7.93870745063773,9.20865974285714,82.774,41.0938968566,6.06,345.7,35.56,762.237601555257,1035762549237922560,"Anacropora"
"79",79,"Anacropora puertogalerae","Hexacorallia","branching_closed","uncommon","VU",0.023,459609247513795,29839437,163179,"Acroporidae","Acroporidae","spawner","Vulnerable",20,5,327.526,23342297.4,123.996666666667,0.8,0.5,35.3779570813465,1.423625,2.80609,0.983000000000001,358.807793854014,273496.792206617,7.93870745063773,9.20865974285714,82.774,41.0938968566,6.06,345.7,35.56,762.237601555257,350331450477531520,"Anacropora"
"80",80,"Astreopora cucullata","Hexacorallia","massive","rare","VU",0.054,1079082581119350,38349581,188051,"Acroporidae","Acroporidae",NA,"Vulnerable",15,5,415.765,35291471.735,246.073333333333,2.3,1.8,42.1368349308088,1.48573717948718,2.82173,1.9215,416.617203599823,287125.976057712,6.27249637124717,9.92145797142857,69.464,47.9343861271,6.19,338,35.08,689.184156527314,743686618492056320,"Astreopora"
"81",81,"Astreopora gracilis","Hexacorallia","massive","uncommon","LC",0.058,1159014624165220,41296181,201952,"Acroporidae","Acroporidae","spawner","Least Concern",15,5,707,40975475.605,299.433333333333,1.6,1.4,70.3262077843204,1.40207809628125,2.83705,2.2855,403.390843199909,308977.801790331,9.84200103729941,7.65323885714285,100.082,46.8129432723,6.23,328.9,34.87,765.951451300571,887748933457935616,"Astreopora"
"82",82,"Astreopora listeri","Hexacorallia","massive","common","LC",0.047,939201505789060,54005058,213571,"Acroporidae","Acroporidae","spawner","Least Concern",30,5,319,48811556.57,199.496666666667,1.6,1.3,37.6985375077679,1.46531666666667,2.81957,1.605,391.691230411713,261653.252495407,6.03105703702964,8.96596151428571,74.505,45.1244742138,6.1,342.2,35.35,668.008962621857,627395023575035776,"Astreopora"
"83",83,"Astreopora moretonensis","Hexacorallia","laminar","rare","VU",0.03,599490322844081,9494459,73486,"Acroporidae","Acroporidae",NA,"Vulnerable",15,2,419.59,7156433.208,251.933333333333,2.5,2.1,44.7348584308088,1.50138717948718,2.82319,1.9165,405.75944413336,276171.880713089,5.90789894077267,9.91708797142857,68.632,47.5871971479,6.19,338,35.08,680.629581655086,408030847643639104,"Astreopora"
"84",84,"Astreopora myriophthalma","Hexacorallia","massive","common","LC",0.122,2437927312899260,72319039,240635,"Acroporidae","Acroporidae","spawner","Least Concern",45,2,492.885,66095667.475,365.833333333333,2.3,2.1,23.3236742959866,1.45276115384615,2.84783,4.3015,518.915947583168,362851.809236387,10.4290504001557,8.02747974285714,87.107,44.1345893533,6.28,326.1,34.72,699.249677961057,1704719888437272320,"Astreopora"
"85",85,"Astreopora ocellata","Hexacorallia","massive","rare","LC",0.079,1578657850156080,44392804,193925,"Acroporidae","Acroporidae",NA,"Least Concern",30,5,314.3385,36603060,108.128333333333,2.5,1.1,38.0066877769986,1.43956666666667,2.80991,1.415,381.391025242777,271010.289536478,6.03105703702964,9.73349151428571,73.004,45.3045010641,6.06,345.7,35.56,710.583814508914,1121768716968348800,"Astreopora"
"86",86,"Caulastraea curvata","Hexacorallia",NA,NA,NA,0.01,199830107614694,27889891,169401,NA,"Faviidae",NA,NA,20,0,353.586666666667,26146288.315,100,13.9,7.8,4.10076785714286,1.658975,2.81857,1.8795,310.524466296388,258314.008003903,5.978971689819,26.1872324,31.7660000000001,34.1328524981,5.85,359,36.25,831.863624418403,166231397588278784,"Caulastraea"
"87",87,"Caulastraea tumida","Hexacorallia",NA,NA,NA,0.01,199830107614694,31832835,182154,NA,"Faviidae",NA,NA,40,2,368.81,30960745.25,100,25,15,5.31722178571429,1.6575060449992,2.81865,1.9745,302.951255997401,248372.67401558,6.16832567682588,26.1872324,31.307,34.1328524981,5.85,359,36.25,819.8436847468,163829451750180288,"Caulastraea"
"88",88,"Coeloseris mayeri","Hexacorallia","massive","common","LC",0.348,6954087744991340,50036509,208830,"Agariciidae","Agariciidae",NA,"Least Concern",5,1,352.126666666667,41421693.145,86.9466666666667,11.9,8.1,2.2094455952381,1.690475,2.81763,1.8895,301.628555588595,360889.05373602,5.978971689819,26.1872324,45.689,34.1328524981,5.85,359,36.25,1196.4684611236,8320346662768274432,"Coeloseris"
"89",89,"Coscinaraea columna","Hexacorallia","massive","common","LC",0.107,2138182151477220,73997921,243523,"Coscinaraeidae","Siderastreidae","spawner","Least Concern",30,5,486.913333333333,68826882.87,367.45,6,3.5,33.6268681851043,1.41512423076923,2.84895,4.474,538.868901444326,775403.591664101,10.9781249593407,16.8842888571428,85.224,42.8430590145,6.28,326.1,34.72,1438.94663356114,3076730008808656896,"Coscinaraea"
"90",90,"Coscinaraea crassa","Hexacorallia","encrusting","rare","NT",0.08,1598640860917550,29748771,153896,"Coscinaraeidae","Siderastreidae",NA,"Near Threatened",30,10,349.126666666667,25698005.35,84.19,12.9,7.1,4.34214142857143,1.664275,2.81797,1.8795,310.524466296388,254207.460939684,5.978971689819,26.1872324,31.261,34.1328524981,5.85,359,36.25,818.6390720564,1308709870932987392,"Coscinaraea"
"91",91,"Coscinaraea exesa","Hexacorallia","columnar","common","LC",0.159,3177298711073630,39566203,190246,"Coscinaraeidae","Siderastreidae",NA,"Least Concern",27.5,4.5,343.635,41231910.82,90.2066666666667,6.1,2.6,2.82058702380953,1.5695,2.81762,1.864,321.023039793393,251647.241048359,5.978971689819,25.9043497428572,30.261,37.0069233729,6.02,349.2,35.77,783.891527568602,2490657540165257216,"Coscinaraea"
"92",92,"Coscinaraea monile","Hexacorallia","massive","common","LC",0.05,999150538073468,33656770,130299,"Coscinaraeidae","Siderastreidae",NA,"Least Concern",54,5.66666666666667,331.086666666667,34792792.315,107.693333333333,5,2.407,6.98154992857143,1.51123333333333,2.81497,1.814,343.058680849924,280286.898090422,5.978971689819,25.9043497428572,31.54,37.1805178625,6.06,345.7,35.56,817.023190889716,816329160795961472,"Coscinaraea"
"93",93,"Ctenactis crassa","Hexacorallia","massive","common","LC",0.018,359694193706449,40883310,216507,"Fungiidae","Fungiidae","spawner","Least Concern",67,NA,155,42206804.485,107.31,236,36.4833333333333,3.21619238095238,1.8455810449992,2.81505,1.8165,304.570738624616,446305.46183501,5.978971689819,26.1872324,55.9569999999999,33.4179494821,5.85,359,36.25,1465.3589634068,527081110833125888,"Ctenactis"
"94",94,"Ctenactis echinata","Hexacorallia","massive","common","LC",0.057,1139031613403750,47700974,219215,"Fungiidae","Fungiidae","spawner","Least Concern",20,1,266,47345652.75,68.3083333333333,284,37.1443333333333,2.36963964285715,1.76354771166587,2.81498,1.8385,313.466649332409,458963.558424538,5.978971689819,26.1872324,55.9109999999999,33.4179494821,5.85,359,36.25,1464.1543507164,1667718092368618240,"Ctenactis"
"95",95,"Cycloseris curvata","Hexacorallia","massive","rare","VU",0.013,259779139899102,58477188,201764,"Fungiidae","Fungiidae",NA,"Vulnerable",73,3,308.215,52835880.055,9,81,75,2.39147178571429,1.7291060449992,2.8152,1.778,315.347002784921,495398.278739227,5.92688634260836,24.9974124,62.845,33.8187150507,5.89,356.9,36.1,1570.962382278,408103256482023168,"Cycloseris"
"96",96,"Cycloseris explanulata","Hexacorallia","laminar","common",NA,0.007,139881075330286,61805745,214628,"Fungiidae","Siderastreidae",NA,NA,31.6666666666667,18.3333333333333,338.183333333333,57465195.32,92.4766666666667,4.5,3.4,5.10013563517665,1.63818937833253,2.81749,1.9555,309.397271175891,274850.63709686,5.978971689819,26.2071024,33.897,34.0192669586,5.98,354.1,35.95,888.3421500528,124262255210603936,"Cycloseris"
"97",97,"Cyphastrea agassizi","Hexacorallia","massive","uncommon","VU",0.015,299745161422040,53027593,177588,"Merulinidae","Faviidae",NA,"Vulnerable",20,3,347.3,37328069.175,163.44,2.2,1.4,20.2729802256806,1.49205384615385,2.81652,1.48,364.187191341446,228761.311116204,6.29148377308286,9.47795682857142,66.274,40.9071673921,6.11,345.7,35.56,628.142110856742,188282558414735168,"Cyphastrea"
"98",98,"Cyphastrea chalcidicum","Hexacorallia","massive","common","LC",0.058,1159014624165220,66681755,234776,"Merulinidae","Faviidae","spawner","Least Concern",50,0,306,62656587.07,100,2.8,1.6,6.63240367546969,1.51065,2.81492,1.713,342.333296267337,325623.305422022,5.92688634260836,15.1275159428571,62.878,39.0996616864,6.09,343.6,35.32,951.187947454969,1102440741430007552,"Cyphastrea"
"99",99,"Cyphastrea japonica","Hexacorallia","submassive","uncommon","LC",0.03,599490322844081,10540989,81378,"Merulinidae","Faviidae",NA,"Least Concern",20,2,472.041666666667,12906579.48,234.083333333333,1.9,1.5,28.5599243634372,1.46678153846154,2.82538,2.182,344.337613202983,210898.010694512,8.05263186165187,7.72098062857143,79.326,44.8972417795,6.22,338,35.14,612.474509342057,367172541339240000,"Cyphastrea"
"100",100,"Cyphastrea microphthalma","Hexacorallia","massive","common","LC",0.071,1418793764064320,74132790,242521,"Merulinidae","Faviidae","spawner","Least Concern",24,1,293.5,70090854.645,560.863333333333,2.7,1.6,18.1227171018519,1.76051355832933,2.82425,1.93,321.13888941224,355769.785579125,5.56716577043028,9.42503745714285,117.542,32.9719687022,6.16,344.3,35.53,1107.83775278748,1571793295249913344,"Cyphastrea"
"101",101,"Cyphastrea serailia","Hexacorallia","massive","common","LC",0.14,2797621506605710,73631964,243460,"Merulinidae","Faviidae","spawner","Least Concern",38.75,2.75,313.5,70540472.315,572.165,2.4,1.4,5.9,1.55079771166587,2.82125,1.8395,337.003250247746,413767.927176052,5.15048299274514,13.9190577142857,88.209,36.772076873,6.09,347.1,35.62,1227.78616191943,3434880972098670592,"Cyphastrea"
"102",102,"Danafungia scruposa","Hexacorallia","massive","common","LC",0.01,199830107614694,26137110,158498,"Fungiidae","Fungiidae","spawner","Least Concern",41,1,297.8585,55032857.23,24,111,34.0903333333333,2.26188,1.7809810449992,2.8152,1.778,315.347002784921,496139.267492532,5.92688634260836,24.9974124,62.939,33.8187150507,5.92,354.8,35.98,1573.3121390436,314395134056587008,"Danafungia"
"103",103,"Diploastrea heliopora","Hexacorallia","massive","uncommon","NT",0.248,4955786668844400,55983207,226503,"Diploastraeidae","Faviidae","spawner","Near Threatened",30,0,290,52480043.55,633.333333333333,9,7,2.43239285714286,1.752375,2.81742,2.013,307.923268465703,485614.255025191,4.44515239192825,24.1118941714286,65.4059999999999,34.2711744619,5.93,356.9,36.07,1577.06255017646,7815585562098236416,"Diploastrea"
"104",104,"Echinophyllia aspera","Hexacorallia","laminar","common","LC",0.051,1019133548834940,71507840,242762,"Lobophyllidae","Pectiniidae","spawner","Least Concern",57,8.5,414,68934427.64,271.218333333333,10.9,8.8,9.65305516046318,1.52920155781971,2.82434,1.9185,353.679272999444,436932.944652593,6.87365627764277,23.9868188571429,51.503,37.4651570543,6.07,342.2,35.2,1235.39313159943,1259030586413237760,"Echinophyllia"
"105",105,"Echinophyllia echinata","Hexacorallia","laminar","uncommon","LC",0.055,1099065591880820,66874958,235717,"Lobophyllidae","Pectiniidae",NA,"Least Concern",40,5,366.236666666667,61084601.95,122.166666666667,12.9,12,3.23122023809524,1.6669560449992,2.81851,1.9125,310.505374741281,275021.739401766,5.978971689819,25.3628932857143,34.922,34.3064469877,5.92,354.8,35.98,885.722959323715,973467628531549952,"Echinophyllia"
"106",106,"Echinophyllia echinoporoides","Hexacorallia","encrusting","common","LC",0.059,1178997634926690,11552099,129870,"Lobophyllidae","Pectiniidae",NA,"Least Concern",30,3,318.958333333333,14349108.575,68.29,5.7,2.5,5.21153714285715,1.630025,2.81489,1.8345,300.455086486218,249662.274168224,5.978971689819,26.1872324,31.731,34.1328524981,5.95,356.2,36.07,830.9470712844,979684631793567360,"Echinophyllia"
"107",107,"Echinopora gemmacea","Hexacorallia","laminar","common","LC",0.218,4356296346000320,66172944,240150,"Merulinidae","Faviidae","spawner","Least Concern",35,1,340,65061177.015,276.64,4.2,3,9.4706175847808,1.65206584666347,2.8241,2.0615,298.655980436728,306802.568619707,6.3435691202935,25.6652550571429,40.026,30.6356379929,6.16,344.3,35.53,1027.2774989172,4475125214861354496,"Echinopora"
"108",108,"Echinopora hirsutissima","Hexacorallia","submassive","uncommon","LC",0.083,1658589893201960,49688810,209712,"Merulinidae","Faviidae",NA,"Least Concern",40,0,325.051666666667,49430644.405,81.8533333333333,4.2,3.7,2.66410585714286,1.64330833333333,2.81447,1.775,307.391219430294,288952.93940256,5.92688634260836,26.1872324,35.896,34.1328524981,5.9,357.6,36.13,940.0168942304,1559102520209637376,"Echinopora"
"109",109,"Echinopora horrida","Hexacorallia","encrusting_long_uprights","uncommon","NT",0.11,2198131183761630,30274756,175980,"Merulinidae","Faviidae","spawner","Near Threatened",25,3,314.117,32941391.15,500,2.4,2,25.604753836166,1.70225989115305,2.82141,1.9675,310.107650989322,321698.84652247,4.44515239192825,10.5179812571429,98.629,38.9636683425,6.13,347.8,35.65,1037.37797341075,2280292872701606144,"Echinopora"
"110",110,"Echinopora lamellosa","Hexacorallia","laminar","common","LC",0.515,10291250542156700,73345463,241121,"Merulinidae","Faviidae","spawner","Least Concern",35,2,261,70194905.85,500,3.4,2.3,11.6910124562803,1.70995302615065,2.82582,2.451,298.652746191651,532800.469400184,5.56716577043028,19.7442703714286,90.356,31.3804053784,6.16,344.3,35.53,1784.0132936808,18359727775807315968,"Echinopora"
"111",111,"Echinopora mammiformis","Hexacorallia","encrusting_long_uprights","common","NT",0.362,7233849895651910,40116099,175341,"Merulinidae","Faviidae",NA,"Near Threatened",15,3,318.966666666667,32045791.34,500,8.9,6.1,8.82030832600733,1.662075,2.81782,1.976,311.037770426004,316205.128533287,4.44515239192825,24.8992941714286,40.829,35.2783887714,5.95,355.5,35.98,1016.61328172526,7354027881926605824,"Echinopora"
"112",112,"Echinopora pacificus","Hexacorallia","laminar","common","NT",0.113,2258080216046040,27404947,159858,"Merulinidae","Faviidae","spawner","Near Threatened",15,1,328.855,25528437.28,78.6366666666667,4.6,2.5,6.1762905,1.55573333333333,2.81497,1.747,320.043150911534,261001.826816727,5.92688634260836,25.9043497428572,31.482,37.0069233729,6.02,349.2,35.77,815.52073860463,1841511245618369792,"Echinopora"
"113",113,"Euphyllia cristata","Hexacorallia","massive","common","VU",0.01,199830107614694,33418075,181617,"Euphylliidae","Euphyllidae",NA,"Vulnerable",35,1,337.44,34723713.95,12,25,20,2.68326357142857,1.687325,2.8155,1.8825,303.016621534389,367265.916986478,5.978971689819,25.7736624,47.026,34.3600235771,5.89,356.9,36.1,1212.0322480224,242200534554795712,"Euphyllia"
"114",114,"Euphyllia glabrescens","Hexacorallia","massive","common","NT",0.007,139881075330286,57041586,229243,"Euphylliidae","Euphyllidae","brooder","Near Threatened",27.5,2,340.68,55045935.335,79.405,19,8,1.94882464285714,1.7278060449992,2.81778,1.862,317.693940989675,501029.332524681,5.978971689819,25.4109824,62.063,33.5915439717,5.92,354.8,35.98,1577.0818006912,220603898164508864,"Euphyllia"
"115",115,"Euphyllia paraancora","Hexacorallia","massive","uncommon","VU",0.05,999150538073468,19228260,102545,"Euphylliidae","Euphyllidae","spawner","Vulnerable",30,3,349.92,18141992.835,68.25,30,29,4.2668075,1.668425,2.81797,1.8455,310.524466296388,254207.460939684,5.978971689819,26.1872324,31.261,34.1328524981,5.85,359,36.25,818.6390720564,817943669333116544,"Euphyllia"
"116",116,"Favites abdita","Hexacorallia","massive","common","NT",0.281,5615226023972890,78650906,242940,"Merulinidae","Faviidae","spawner","Near Threatened",26.6666666666667,2,407.5,72251149.285,100,15,7.5,0.8,1.5785810449992,2.8172,1.817,380.818994217386,403518.324441432,6.87365627764277,24.8174679714286,42.696,39.224217435,5.99,348.5,35.59,1059.60661250812,5949930625729327104,"Favites"
"117",117,"Favites chinensis","Hexacorallia","massive","common","NT",0.071,1418793764064320,58223062,228489,"Merulinidae","Faviidae","spawner","Near Threatened",20,0,395,57089008.555,101.151666666667,12.5,7.5,9.17185042124541,1.6358120899984,2.81809,1.956,310.719971584697,306611.018966493,6.16832567682588,26.2071024,37.653,34.0192669586,5.94,351.3,35.77,986.7760266672,1400031673163590656,"Favites"
"118",118,"Favites complanata","Hexacorallia","massive","uncommon","NT",0.048,959184516550530,64979928,240802,"Merulinidae","Faviidae","spawner","Near Threatened",27.5,3,371.5,62754606.605,136.18,18.8,8,2.65306202380953,1.6104310449992,2.81851,1.903,310.505374741281,252579.064654529,6.16832567682588,25.0800106285714,32.434,36.5134171657,5.92,354.8,35.98,813.445064727085,780243911150663424,"Favites"
"119",119,"Favites flexuosa","Hexacorallia","massive","uncommon","NT",0.078,1558674839394610,71335568,239267,"Merulinidae","Faviidae","spawner","Near Threatened",20,5.5,382.806666666667,67470677.26,158.883333333333,18.8,13.2,6.40486901648351,1.6460491799968,2.81772,1.8225,312.012871200313,404933.738445883,6.73638763784653,25.3696732857143,51.156,31.0916044097,5.98,349.2,35.62,1297.811006604,2022865362283047680,"Favites"
"120",120,"Favites halicora","Hexacorallia","massive","uncommon","NT",0.133,2657740431275430,57893396,225308,"Merulinidae","Faviidae","spawner","Near Threatened",55,NA,352,55922609.63,70.7833333333333,16.8,10.8,2.04880321428572,1.7186560449992,2.81778,1.837,317.693940989675,502143.394814425,5.978971689819,25.4109824,62.201,33.5915439717,5.92,354.8,35.98,1580.5885162624,4200794004880223232,"Favites"
"121",121,"Favites micropentagonus","Hexacorallia",NA,NA,"NT",0.033,659439355128489,6854113,73434,NA,"Faviidae",NA,"Near Threatened",20,0,320.901666666667,11292395.407,50,5.2,3.3,5.02357907142857,1.650175,2.81489,1.7815,308.371108312153,255491.677380215,5.92688634260836,25.7736624,32.146,34.3600235771,5.99,354.1,35.92,828.5201515104,546358794422976128,"Favites"
"122",122,"Favites pentagona","Hexacorallia","submassive","uncommon","LC",0.058,1159014624165220,64275457,231329,"Merulinidae","Faviidae","spawner","Least Concern",45,3.5,336.061666666667,62855763.175,100,8.5,3.8,1.90529035714286,1.7003681349976,2.8153,1.8445,312.253072052026,390834.300355614,5.978971689819,25.3628932857143,49.3499999999999,34.4800414773,5.92,354.8,35.98,1251.65878365,1450690834715198976,"Favites"
"123",123,"Favites vasta","Hexacorallia","massive","uncommon","NT",0.027,539541290559673,17726659,72578,"Merulinidae","Faviidae",NA,"Near Threatened",20,1,355.331666666667,18898317.565,94.97,17.5,12.5,4.19232892857143,1.658975,2.81857,1.8795,309.479211877542,257444.498874603,5.978971689819,26.1872324,31.7660000000001,34.1328524981,5.85,359,36.25,831.863624418403,448824773488352064,"Favites"
"124",124,"Fungia fungites","Hexacorallia","massive","common","NT",0.077,1538691828633140,66931149,236614,"Fungiidae","Fungiidae","spawner","Near Threatened",50,0,218.6035,33050257.1465,28,158,40.752,2,1.99,2.81541,1.8245,304.570738624616,445772.46404811,5.978971689819,25.7736624,56.7869999999999,33.6451205611,5.89,356.9,36.1,1463.6089667088,2252043157389020160,"Fungia"
"125",125,"Galaxea astreata","Hexacorallia","submassive","common","VU",0.035,699405376651428,56837149,229360,"Euphylliidae","Oculinidae","spawner","Vulnerable",35,9,329.248333333333,53354398.935,166.666666666667,3.7,3.4,7.8639985,1.51765,2.8139,1.742,349.458422046534,351431.972903989,5.92688634260836,20.8848532857143,48.152,39.1012859452,6.06,345.7,35.56,1005.64745541371,703355237332179456,"Galaxea"
"126",126,"Galaxea fascicularis","Hexacorallia","massive","common","NT",0.382,7633510110881299,62107800,240028,"Euphylliidae","Oculinidae","spawner","Near Threatened",19.25,1.25,482,62479426.59,500,10.7,5.8,15.2214931645398,1.68696969281731,2.82728,2.387,293.000762558798,379039.58164904,4.63450637893513,19.7545594857143,65.486,34.9221770044,6.07,346.4,35.56,1293.64708248149,9875068084034523136,"Galaxea"
"127",127,"Galaxea longisepta","Hexacorallia","encrusting","rare","NT",0.087,1738521936247830,11396169,130240,"Euphylliidae","Oculinidae",NA,"Near Threatened",20,5,321.73,13248808.365,15,7.6,4.7,4.77062321428572,1.675025,2.81498,1.7865,308.371108312153,263097.772547666,5.92688634260836,25.7736624,33.103,34.3600235771,5.89,356.9,36.1,853.1855464272,1483281788153278464,"Galaxea"
"128",128,"Gardineroseris planulata","Hexacorallia","massive","uncommon","LC",0.064,1278912688734040,99491163,244599,"Agariciidae","Agariciidae","spawner","Least Concern",25,8.66666666666667,144,85555016.06,715.973333333333,5,1.4,8.25,1.63,2.82586,2.3325,349.335159529665,790354.291438513,6.49982516192543,20.3751148,111.04,30.2429139591,6.16,344.3,35.53,2262.452747392,2893479526300818432,"Gardineroseris"
"129",129,"Goniastrea edwardsi","Hexacorallia","massive","common","LC",0.106,2118199140715750,57736668,227122,"Merulinidae","Faviidae","spawner","Least Concern",30,0,308,56142436.515,100,5,2.5,4.87900920660523,1.60336437833253,2.81491,1.844,317.271460478181,259852.900777109,5.978971689819,25.9242197428572,31.593,36.2262371366,6.02,349.2,35.77,819.023874336087,1734855666844385024,"Goniastrea"
"130",130,"Goniastrea favulus","Hexacorallia","massive","uncommon","NT",0.072,1438776774825790,42551210,195682,"Merulinidae","Faviidae","spawner","Near Threatened",15,0,339.688333333333,40990209.4,75.33,7.5,4,4.05,1.651525,2.81754,1.8775,303.016621534389,33033.0800385136,5.978971689819,27.9523297428572,3.9,33.9056814191,5.5,380,37,109.014085997143,156846935061550816,"Goniastrea"
"131",131,"Goniastrea minuta","Hexacorallia","submassive","uncommon","NT",0.027,539541290559673,20724093,111785,"Merulinidae","Faviidae","spawner","Near Threatened",15,1,327.925,19768099.25,69.85,5.9,4.3,4.66698607142858,1.666625,2.81489,1.7865,309.54457741453,254913.023151087,5.92688634260836,26.1872324,31.447,34.1328524981,5.9,357.6,36.13,823.5098972828,444317592768625600,"Goniastrea"
"132",132,"Goniastrea pectinata","Hexacorallia","submassive","common","LC",0.093,1858420000816650,70298953,236447,"Merulinidae","Faviidae","spawner","Least Concern",35,4.25,362.876833333333,66369238.09,158.773333333333,15,5,4.09526625457876,1.6790491799968,2.8186,1.9625,302.137071610661,377591.416924284,6.54703365083965,25.3696732857143,49.2609999999999,31.0916044097,5.92,354.8,35.98,1249.73547572757,2322533403822226432,"Goniastrea"
"133",133,"Goniastrea retiformis","Hexacorallia","massive","common","LC",0.332,6634359572807830,60563366,228657,"Merulinidae","Faviidae","spawner","Least Concern",14,1,461.5,58574843.48,100,6.5,3.5,6.8,1.7,2.82948,2.8,262.0747126308,102065.783058203,9.06559768743619,45.818,8.5,27.95117054,6.15,340.1,35.26,389.453,2583771238708727808,"Goniastrea"
