Species,subclass,GrowthForm_CTD,Abund_CTD,IUCNstatus,MeanPCcover,coralcover,Range,ReefArea_Range,family_molecules,family_morphology,larval,IUCN conservation status,Depth lower,Depth upper,Eastern-most range edge,Genus fossil age,Northern-most range edge,Oocyte size at maturity,Range size,Southern-most range edge,Species age phylogeny,Veron species id,Water depth,Western-most range edge,Colony maximum diameter,Corallite width maximum,Corallite width minimum,Growth rate,Water temperature,Nitrogen concentration,Phosphorus concentration,Sample identifier,Calcification rate,Irradiance,Skeletal density,Skeletal micro-density,Symbiodinium density,Tissue thickness,Year,Propagule size on release,Colony area,Colony fecundity,Colony shape factor,Distance from crest,Length of nonreproductive zone,Polyp fecundity,Polyps per area,Ratio of female to male gonads,Size at maturity,Egg size,Flow rate,Mitotic index,RNA:DNA ratio,Season,Chlorophyll a,Lipid content,Total biomass,Protein biomass,Age at maturity,Eggs per area,Generation time,Mesentery fecundity,Number of septa per corallite,Dark respiration,Gross photosynthesis,Larval swimming speed,Dissolved oxygen concentration,Distance from shore,Downward flux of suspended particulate matter,Light extinction coefficient,Nitrite-nitrate concentration,Particulate organic matter concentration,Phosphate concentration,Salinity,Suspended particulate matter concentration,Individual identifier,Propagule age,Rainfall,Sunlight,Colony surface area
Acropora microphthalma,Hexacorallia,branching_open,common,LC,0.49,979167.527311999,75839181,233032,Acroporidae,Acroporidae,spawner,Least Concern,21.5,6,-103.95032593,52.44,31.09195129,NA,68520582.525,-34.54614228,3.51583981356175,46,1,27.5522103,200,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora millepora,Hexacorallia,corymbose,common,NT,0.21,419643.2259908567,47574287,202413,Acroporidae,Acroporidae,spawner,Near Threatened,21,2,-175.73519888,52.44,30.10207607,NA,43075011.285,-33.76695321,0.886234689260959,47,2.5357142857142865,39.3312347,NA,1.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.58904270129625,18509.141049860606,NA,NA,13.928509523809524,5.139,87,1.1,45.3106195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora monticulosa,Hexacorallia,digitate,uncommon,NT,0.291,581505.6131587586,52428663,207507,Acroporidae,Acroporidae,spawner,Near Threatened,13,1,-175.65145197,52.44,29.57436112,452,48278557.13,-34.1553351,1.41143821555589,48,6.25,23.1296408,300,1.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora muricata,Hexacorallia,NA,NA,NA,1.495,2987460.1088396707,75243817,235930,NA,Acroporidae,NA,NA,20,4.333333333333333,-134.20990138,52.44,30.79839055,389,68873888.78,-34.54927646,2.01943792018288,29,2.9830985915492954,26.228377,625,1.2,0.8,74.47375,25.591666666875,1.1245384495,0.18408402675000002,234.25,1.71,829.7037036666667,1.7125000000000001,2.854,1583200,NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,0.8,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora nana,Hexacorallia,branching_closed,uncommon,NT,0.358,715391.7852606033,51031596,190737,Acroporidae,Acroporidae,spawner,Near Threatened,12.5,1,-175.40360506,52.44,29.46956651,568,45866084.525000006,-34.54789048,1.12734146923298,50,2,25.7710778,15,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.93394313031764,894.1519764540541,NA,NA,12.167672727272727,4.461,50,1.55,39.30972449,0.06249615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora nasuta,Hexacorallia,corymbose,common,NT,0.225,449617.74213306076,68015810,241157,Acroporidae,Acroporidae,spawner,Near Threatened,22.333333333333332,1.5,-104.68685219,52.44,31.49788302,646,65507245.46,-33.84856589,0.86549527717715,51,6.154929577464789,23.9014842,80,1.1,0.5,41.9,29,NA,NA,NA,2.96,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora palmerae,Hexacorallia,encrusting,uncommon,VU,0.477,953189.6133220887,38646918,194910,Acroporidae,Acroporidae,spawner,Vulnerable,13.333333333333334,1,-173.92902775,52.44,27.16296721,NA,36203677.055,-35.53327447,2.3732558722585,54,NA,69.4628524,180,1.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora paniculata,Hexacorallia,tables_or_plates,uncommon,VU,0.208,415646.6238385628,51278155,176835,Acroporidae,Acroporidae,NA,Vulnerable,39.666666666666664,10,-147.61899776,52.44,30.86617928,NA,42672046.7,-25.11260793,1.72265510974501,55,10,93.5337309,103,0.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora papillare,Hexacorallia,branching_open,uncommon,VU,0.122,243792.73128992628,8196998,85887,Acroporidae,Acroporidae,NA,Vulnerable,14,1,135.2594577,52.44,23.37363392,NA,12420231.695,-29.33254727,2.19260319674213,838,NA,93.5767915,NA,1.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora plumosa,Hexacorallia,tables_or_plates,uncommon,VU,0.102,203826.70976698754,6676481,87501,Acroporidae,Acroporidae,NA,Vulnerable,24.5,10,154.09111731,52.44,20.20095542,NA,7404993.9145,-13.7163549,0.997531825675559,790,NA,94.7831948,NA,1.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora polystoma,Hexacorallia,corymbose,uncommon,VU,0.065,129889.56994955089,45586022,208524,Acroporidae,Acroporidae,spawner,Vulnerable,10.833333333333334,4,-176.56794599,52.44,31.07171053,NA,42675910.29,-30.43918595,0.794351463499658,56,3,31.1464165,80,1.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora pulchra,Hexacorallia,branching_open,uncommon,LC,0.294,587500.5163871994,65059343,215209,Acroporidae,Acroporidae,spawner,Least Concern,11.333333333333334,1.5,-133.30472488,52.44,29.43212122,575,58241790.660000004,-32.87368007,3.01610547560649,57,1.9,36.2047787,500,1.2,0.6,101.02,28.05,NA,NA,NA,NA,628,1.9,2.841,2230000,NA,NA,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora retusa,Hexacorallia,digitate,uncommon,VU,0.433,865264.3659716236,35198525,140741,Acroporidae,Acroporidae,spawner,Vulnerable,16.75,1,-136.72466455,52.44,20.27327032,NA,31241854.77,-35.01654721,1.55533811964153,645,2.25,23.990853,NA,0.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora robusta,Hexacorallia,branching_open,common,LC,0.343,685417.2691183994,72559082,235149,Acroporidae,Acroporidae,spawner,Least Concern,8.833333333333334,0.5,-105.85716632,52.44,31.06889537,NA,66222208.745000005,-33.71942927,3.87591025313423,58,3.4714285714285715,31.5658759,NA,1.5,0.5,22.4,27,0.9401999095,0.24157109033333332,181.66666666666666,NA,NA,NA,NA,2030000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora samoensis,Hexacorallia,digitate,common,LC,0.082,163860.68824404883,64870968,235425,Acroporidae,Acroporidae,spawner,Least Concern,15,5,-106.0655134,52.44,38.53096707,NA,59954090.370000005,-34.84430478,0.836718091641527,65,1.7333333333333334,31.3972771,100,1.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora sarmentosa,Hexacorallia,corymbose,common,LC,0.066,131887.87102569782,40638778,189782,Acroporidae,Acroporidae,spawner,Least Concern,20.666666666666668,3,-135.86345244,52.44,27.8519369,NA,41155623.595,-34.84430478,1.027237695012,61,10,94.0935188,30,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora secale,Hexacorallia,branching_closed,common,NT,0.208,415646.6238385628,63620467,222626,Acroporidae,Acroporidae,spawner,Near Threatened,25,2,-135.69896757,52.44,30.96782918,NA,59607476.66,-34.95302143,0.954010410659868,62,2.6153846153846154,23.8478336,100,1.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora selago,Hexacorallia,corymbose,uncommon,NT,0.123,245791.0323660732,57912057,220450,Acroporidae,Acroporidae,spawner,Near Threatened,35,5,-152.570967396,52.44,31.12454292,NA,49536611.545,-27.9546079,0.320619844940834,63,1,30.536065,75,0.9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora solitaryensis,Hexacorallia,tables_or_plates,rare,VU,0.26,519558.27979820356,35340947,183612,Acroporidae,Acroporidae,spawner,Vulnerable,35,5,-173.09100212,52.44,38.74212966,NA,36378566.239999995,-35.509259900000004,0.410822963190635,64,2.3076923076923075,94.2276691,204,1.1,0.5,16.7,27,NA,NA,NA,NA,NA,1.45,2.832,2100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora speciosa,Hexacorallia,corymbose,uncommon,VU,0.097,193835.20438625288,32064832,132262,Acroporidae,Acroporidae,NA,Vulnerable,51.666666666666664,12,-136.43930152,52.44,19.90725804,NA,29677581.905,-25.83103345,1.60290890974221,791,2,95.262314,50,0.8,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora spicifera,Hexacorallia,tables_or_plates,uncommon,VU,0.227,453614.34428535466,31530738,155229,Acroporidae,Acroporidae,spawner,Vulnerable,11,2,-175.21276944,52.44,30.62247535,446,31914481.535000004,-33.99094822,3.51583981356175,380,1.2857142857142858,31.3066643,NA,1.1,0.5,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora striata,Hexacorallia,branching_closed,rare,VU,0.184,367687.39801103633,25344371,119908,Acroporidae,Acroporidae,spawner,Vulnerable,29.55,10,-146.25718536,52.44,37.91821602,NA,21254273.08,-25.28085841,0.313103133348868,514,NA,32.1850496,NA,1.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora subglabra,Hexacorallia,hispidose,uncommon,LC,0.306,611480.1293009627,36383381,189616,Acroporidae,Acroporidae,NA,Least Concern,32.5,5,-175.57278558,52.44,30.14470957,NA,34766280.265,-29.79391792,5.72711205222336,72,1,80.5666175,NA,0.8,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora subulata,Hexacorallia,tables_or_plates,common,LC,0.283,565519.204549583,53940059,220366,Acroporidae,Acroporidae,spawner,Least Concern,27.5,5,-106.0655134,52.44,38.7032095,NA,47566277.96,-35.01654721,6.34345566829102,73,3,31.3972771,250,1.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora suharsonoi,Hexacorallia,corymbose,uncommon,EN,0.04,79932.04304587748,567434,9046,Acroporidae,Acroporidae,NA,Endangered,25,15,117.6894213,52.44,-7.253825132,NA,416089.76191500004,-9.302607499,0.838457628578459,620,NA,115.64063893,NA,0.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora tenuis,Hexacorallia,corymbose,uncommon,NT,0.219,437627.9356761791,65335974,239811,Acroporidae,Acroporidae,spawner,Near Threatened,18.333333333333332,4.5,-137.0691494,52.44,32.5024823,NA,62753683.875,-35.53327447,3.4598697602965,74,3,27.0912166,NA,1.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora tortuosa,Hexacorallia,branching_closed,uncommon,LC,0.117,233801.22590919162,23381383,101322,Acroporidae,Acroporidae,spawner,Least Concern,31,1,-137.82387488,52.44,1.992394592,NA,22730585.965,-32.80059409,1.60290890974221,75,NA,111.13821387,NA,1.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora valenciennesi,Hexacorallia,branching_open,common,LC,0.542,1083079.1832716397,60816206,232515,Acroporidae,Acroporidae,spawner,Least Concern,38.333333333333336,5,-158.233437026,52.44,33.12686108,NA,50367297.94,-35.12419872,0.935649218714338,76,10,30.8159589,333.3333333333333,1.5,0.8,179.33333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora valida,Hexacorallia,corymbose,common,LC,0.548,1095068.9897285216,95367652,245545,Acroporidae,Acroporidae,spawner,Least Concern,32,1.6666666666666667,-76.08572611,52.44,37.4484897,493,81572516.925,-34.28650432,0.55112718077608,77,2.322916666666667,25.8951254,50,0.9,0.5,34.3,26,NA,NA,NA,NA,NA,1.5,2.824,NA,NA,1976,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora verweyi,Hexacorallia,corymbose,common,VU,0.054,107908.25811193459,52762515,206250,Acroporidae,Acroporidae,NA,Vulnerable,22,2,-175.77038843,52.44,39.364089130000004,NA,46507145.675,-33.10720558,1.89841388031004,79,1,31.4793412,NA,1.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora yongei,Hexacorallia,branching_closed,common,LC,0.324,647449.5486716075,41920954,187258,Acroporidae,Acroporidae,spawner,Least Concern,20.5,5,-176.24471854,52.44,28.48792041,NA,38125026.394999996,-33.9000708,0.70882642845992,81,4.3,38.5584875,200,1.2,0.8,49.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alveopora allingi,Hexacorallia,columnar,uncommon,VU,0.01,19983.01076146937,55897220,226664,Acroporidae,Poritidae,NA,Vulnerable,35,5,-137.92034696,57.04,30.46037577,NA,53760683.39,-34.97788308,1.40923889284036,82,NA,26.6373866,NA,3.7,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alveopora gigas,Hexacorallia,columnar,uncommon,VU,0.083,165858.98932019575,4580064,63022,Acroporidae,Poritidae,spawner,Vulnerable,30,3,154.71799299,57.04,1.8120594,NA,7189811.729499999,-28.79693406,1.33015461812762,360,NA,110.98256211,NA,6.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alveopora marionensis,Hexacorallia,submassive,rare,VU,0.01,19983.01076146937,25531391,164312,Acroporidae,Poritidae,NA,Vulnerable,30,1,-176.56154716,57.04,23.44510114,NA,21083093.880000003,-33.62145979,1.4581426513847,85,NA,94.6337865,NA,3.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alveopora spongiosa,Hexacorallia,columnar,uncommon,NT,0.016,31972.81721835099,67077726,235335,Acroporidae,Poritidae,NA,Near Threatened,35,3,-137.88726828,57.04,37.83955818,NA,60155295.400000006,-34.10129805,1.5620975991738,86,NA,24.1375335,150,1.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anacropora forbesi,Hexacorallia,branching_closed,uncommon,LC,0.307,613478.4303771096,50771041,191909,Acroporidae,Acroporidae,NA,Least Concern,25,2,-173.89930395,NA,29.77328285,NA,35996700.2,-29.03788324,2.90225166888166,90,NA,33.9069352,NA,0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anacropora matthai,Hexacorallia,branching_closed,rare,VU,0.068,135884.4731779917,8850646,124834,Acroporidae,Acroporidae,NA,Vulnerable,20,8,156.17852844,NA,26.65390681,NA,10186516.256,-25.16349899,0.594847814802613,91,NA,94.0294313,NA,0.6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anacropora puertogalerae,Hexacorallia,branching_closed,uncommon,VU,0.023,45960.92475137954,29839437,163179,Acroporidae,Acroporidae,spawner,Vulnerable,20,5,-173.46219393,NA,29.83288876,NA,23342297.4,-25.48139719,0.559199647245106,92,NA,93.8704822,NA,0.8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astreopora cucullata,Hexacorallia,massive,rare,VU,0.054,107908.25811193459,38349581,188051,Acroporidae,Acroporidae,NA,Vulnerable,15,5,-161.382062517,118.7,31.56146019,NA,35291471.735,-35.197160770000004,1.16912129623816,97,NA,31.5226987,NA,2.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astreopora gracilis,Hexacorallia,massive,uncommon,LC,0.058,115901.46241652234,41296181,201952,Acroporidae,Acroporidae,spawner,Least Concern,15,5,-173.62114303,118.7,37.32336498,707,40975475.605000004,-35.39584715,1.48757775711056,98,NA,31.0061141,NA,1.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astreopora listeri,Hexacorallia,massive,common,LC,0.047,93920.15057890602,54005058,213571,Acroporidae,Acroporidae,spawner,Least Concern,30,5,-168.057924614,118.7,31.36277382,319,48811556.57,-33.21029706,0.806483019919856,99,NA,31.6021732,NA,1.6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astreopora moretonensis,Hexacorallia,laminar,rare,VU,0.03,59949.0322844081,9494459,73486,Acroporidae,Acroporidae,NA,Vulnerable,15,2,-176.99881135,118.7,19.0640874,NA,7156433.208,-33.07121659,1.26622511109182,101,NA,80.1611225,NA,2.5,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astreopora myriophthalma,Hexacorallia,massive,common,LC,0.122,243792.73128992628,72319039,240635,Acroporidae,Acroporidae,spawner,Least Concern,45,2,-105.78961565,118.7,39.40957189,NA,66095667.475,-34.34280938,1.51180986574064,102,3.115384615384616,31.6816478,NA,2.3,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astreopora ocellata,Hexacorallia,massive,rare,LC,0.079,157865.785015608,44392804,193925,Acroporidae,Acroporidae,NA,Least Concern,30,5,-174.61457489,118.7,30.36934196,NA,36603060,-35.39584715,1.09118503248742,103,NA,33.1916642,NA,2.5,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
